sector,phase,obs_days,cumulative_return_pct,mean_daily_return_pct,std_daily_pct,annualized_vol_pct,max_drawdown_pct,skewness,kurtosis,beta_vs_benchmark
Energy,Pre-COVID,107665,-4.968630360792526,-3.055926097645358e-05,0.057951807955128026,0.9199564312550602,-19.354177740691135,2.625451721536032,274.73414028702405,
Energy,Lockdown,29624,6.924170998319168,0.00038205977065328855,0.17580490624522593,2.7908163671393638,-30.44091811317125,-7.13946299042585,970.5910002069143,
Energy,Recovery,47682,17.719866086934587,0.00036249928506743376,0.06384000115520083,1.0134286005284254,-11.609578009234406,1.7803142755894104,59.50110664413249,
Energy,Vaccine,91987,33.02642397856348,0.0003307561861995367,0.06406081923367522,1.0169339788522078,-13.628797583463816,0.04645662625928424,134.32471207536548,
FMCG,Pre-COVID,107665,-3.9853101196925644,-2.7722970531608723e-05,0.044931992887314066,0.7132732745421364,-10.620909273411876,15.036833740315942,1831.2440406453281,
FMCG,Lockdown,29624,2.3645794397299635,0.00017479191403822444,0.13780850983379958,2.1876422734117966,-23.79205844279651,-9.917836207082866,884.0779922510982,
FMCG,Recovery,47682,14.094030041855543,0.00028690748695111207,0.04557589432487065,0.7234948929778064,-9.870393640050763,1.1802222886084772,55.550565102006566,
FMCG,Vaccine,91987,8.587328128359317,9.905454185724644e-05,0.04357952389814525,0.6918034949345307,-14.723041304454368,0.8613014029038845,61.36465449238142,
Pharma,Pre-COVID,284,-14.567525870311416,-0.04875703278092263,1.1546476360743456,18.329462981767982,-24.44328135809861,-0.36036920144539725,0.791992449681953,
Pharma,Lockdown,80,31.78672109578644,0.3795581212233609,2.62395565407149,41.65400467160994,-21.037321327185122,-0.009038628820826624,4.091581546188136,
Pharma,Recovery,128,29.351085215017704,0.21392390009433404,1.598133386606113,25.36958101721531,-9.349966020961904,-0.06926028172692802,1.7052772409768702,
Pharma,Vaccine,248,10.120081216511556,0.04537659345778132,1.1426306812235822,18.138699737459515,-14.150387287369107,0.05492898206844952,1.1395677089137584,
Infra,Pre-COVID,107665,-5.042228665080561,-3.518351396868093e-05,0.05078984735186098,0.8062638313197396,-15.855036356789022,6.381444925321913,576.579983269889,
Infra,Lockdown,29624,0.9806849860610534,0.00016416391797715799,0.1611919936069195,2.5588435705117343,-32.63750344670981,-8.021303053579004,1109.535455129979,
Infra,Recovery,47682,20.88275998417979,0.00041312125982021533,0.055478270248626164,0.8806902374753902,-10.079749185766904,1.7138066228902091,84.47429586417039,
Infra,Vaccine,91987,34.67370441458304,0.00033782962567479696,0.053323600319233416,0.8464859127317762,-12.409378877930898,0.7989796894612803,143.9678608795243,
IT,Pre-COVID,107665,5.769656929956946,6.340396276181281e-05,0.047521692998444914,0.7543834893278677,-12.705155897540232,-3.413445209644868,202.69467685896598,
IT,Lockdown,29624,-3.3142696265056615,1.8806566211559737e-05,0.16181626296175403,2.5687535392957996,-31.82248953197393,-10.664231021880328,866.6502483740143,
IT,Recovery,47682,64.92788428922147,0.001073515326865182,0.06964004576950944,1.105501454383666,-9.092115477762372,5.563421843377864,287.610856527186,
IT,Vaccine,91988,59.66212913909732,0.0005287110067435429,0.0633129555809255,1.005062011413647,-10.789025899407768,-2.8361190864246395,310.0002988373678,
Bank,Pre-COVID,107665,7.480370769244304,8.406626343016342e-05,0.05849335756450706,0.9285532647891868,-16.403542306778615,6.8160286400459835,774.0548006474918,
Bank,Lockdown,29624,-26.792651260302492,-0.0008122712671763852,0.21849641920572055,3.468523125458721,-45.695106871577465,-4.525362292952883,384.54548896718785,
Bank,Recovery,47682,46.21987300176802,0.0008333962042581017,0.08556481949385863,1.3582994001412894,-19.045541617256877,1.7820826212640122,97.06794831413049,
Bank,Vaccine,91988,12.463425721397092,0.0001539547644005847,0.07244818888760843,1.1500793444018709,-19.285772092918346,-1.6544504612169908,297.25081640373105,
