,imo,vessel_name,ShiptypeLevel2,ShiptypeLevel5,Route
0,9225342,GAS GLORIA,Tankers,LPG Tanker,West - East
1,9290476,MAERSK KOWLOON,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
2,9293753,CONTI CORTESIA,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
3,9301495,MSC BILBAO,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
4,9321536,ELLY MAERSK,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
5,9342528,MAERSK ALGOL,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
6,9342827,JASMINE A,Bulk Carriers,Bulk Carrier,West - East
7,9359026,GUNHILDE MAERSK,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
8,9388821,AL SAMRIYA,Tankers,LNG Tanker,East - West
9,9397315,AL MAFYAR,Tankers,LNG Tanker,East - West
10,9399208,CMA  CGM  LEO,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
11,9431135,AL NUAMAN,Tankers,LNG Tanker,To/From Europe
12,9431147,AL BAHIYA,Tankers,LNG Tanker,To/From Europe
13,9432165,QIAN KUN,Dry Cargo/Passenger,General Cargo Ship,East - West
14,9433793,CMA CGM ATTILA,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
15,9450387,BREMEN,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
16,9475612,ONE MARVEL,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
17,9508316,NORDIKA DESGAGNES,Dry Cargo/Passenger,General Cargo Ship,East - West
18,9591181,LEDRA,Bulk Carriers,Bulk Carrier,West - East
19,9597331,XI JIANG YUE,Bulk Carriers,Bulk Carrier,West - East
20,9604017,YANGZE 12,Bulk Carriers,Bulk Carrier,West - East
21,9619957,MAGLEBY MAERSK,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
22,9620683,MORNING CLAIRE,Dry Cargo/Passenger,Vehicles Carrier,To/From Europe
23,9625528,HYUNDAI PRESTIGE,Dry Cargo/Passenger,Container Ship (Fully Cellular),To/From Europe
24,9628128,HANDY  PERTH,Bulk Carriers,Bulk Carrier,East - West
25,9629108,EVER LYRIC,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
26,9629586,YENISEI RIVER,Tankers,LNG Tanker,East - West
27,9632129,MAREN MAERSK,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
28,9632143,MARCHEN MAERSK,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
29,9684665,YM WELLHEAD,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
30,9692818,CIC OSLO,Bulk Carriers,Bulk Carrier,West - East
31,9700964,ANGELIC,Dry Cargo/Passenger,Open Hatch Cargo Ship,East - West
32,9722429,GOLDEN MONTERREY,Bulk Carriers,Bulk Carrier,West - East
33,9731169,OLYMPIC LADY,Tankers,Crude Oil Tanker,East - West
34,9740457,MAERSK SKARSTIND,Dry Cargo/Passenger,Container Ship (Fully Cellular),West - East
35,9750232,PAN AMERICAS,Tankers,LNG Tanker,West - East
36,9776200,OOCL UNITED KINGDOM,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
37,9786827,EVER GIFTED,Dry Cargo/Passenger,Container Ship (Fully Cellular),To/From Europe
38,9810379,MARAN GAS ANDROS,Tankers,LNG Tanker,West - East
39,9832729,EVER GREET,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
40,9835173,VIVIT DUBHE,Tankers,LPG Tanker,East - West
41,9835836,MARLIN SANTORINI,Tankers,Crude Oil Tanker,West - East
42,9847413,BBG GUIGANG,Bulk Carriers,Bulk Carrier,West - East
43,9850692,CLEAROCEAN AJAX,Tankers,Crude/Oil Products Tanker,To/From Europe
44,9858486,ELANDRA DENALI,Tankers,Crude Oil Tanker,East - West
45,9863314,HMM DUBLIN,Dry Cargo/Passenger,Container Ship (Fully Cellular),To/From Europe
46,9868338,HMM ROTTERDAM,Dry Cargo/Passenger,Container Ship (Fully Cellular),To/From Europe
47,9868352,HMM STOCKHOLM,Dry Cargo/Passenger,Container Ship (Fully Cellular),East - West
